ID,name,description
fdde0b98-8f57-4bbb-b29e-7544ae2eca19,Beverages,Soft drinks coffees teas beers and ales
15a37a4a-fda4-41b6-91f8-7a4f4564a0c4,Condiments,Sweet and savoury sauces relishes spreads and seasonings
15633a15-6f78-422a-a582-919fda0b802b,Confections,Desserts candies and sweet breads
53e542d8-3713-428b-b408-13da05543040,Dairy Products,Cheeses and other dairy products
8022e8a9-9e9d-4e9d-956e-b3afdade3af3,Grains/Cereals,Breads crackers pasta and cereal
677c05d2-12ed-49c7-aed5-a54546236fdb,Meat/Poultry,Prepared meats
447e0c40-d7b6-4c4f-86f2-b336d3bd2d0c,Produce,Dried fruit and bean curd
dce402d9-0e5f-4178-95e6-d8dac32d532d,Seafood,Seaweed and fish
d15f2c4f-1e08-442c-b5b4-f11a68901c06,Frozen Foods,Frozen meals and vegetables
2e51a4cc-d2e0-4bf3-b3aa-527b37a9346f,Bakery,Fresh breads pastries and cakes
